ensembl_gene_id,dcs_target_list,pm_target_list,adverse_effects_symbol,adverse_effects_target_list,safety_risk_symbol,safety_risk_target_list,on_platform_qc,on_platform_production
ENSG00000101204,Yes,No,CHRNA4,Yes,n/a,No,Yes,Yes
ENSG00000101412,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000102145,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000102265,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000102468,Yes,Yes,HTR2A,Yes,n/a,No,Yes,Yes
ENSG00000102572,Yes,No,n/a,No,STK24,Yes,Yes,Yes
ENSG00000102755,Yes,Yes,n/a,No,FLT1,Yes,Yes,Yes
ENSG00000102882,Yes,Yes,n/a,No,MAPK3,Yes,Yes,Yes
ENSG00000103222,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000103546,Yes,Yes,SLC6A2,Yes,n/a,No,Yes,Yes
ENSG00000104368,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000104783,Yes,No,KCNN4,Yes,n/a,No,Yes,Yes
ENSG00000104814,Yes,No,n/a,No,MAP4K1,Yes,Yes,Yes
ENSG00000104936,Yes,No,n/a,No,DMPK,Yes,Yes,Yes
ENSG00000105146,Yes,No,n/a,No,AURKC,Yes,Yes,Yes
ENSG00000105221,Yes,Yes,n/a,No,AKT2,Yes,Yes,Yes
ENSG00000105287,Yes,Yes,n/a,No,PRKD2,Yes,Yes,Yes
ENSG00000105329,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000105398,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000105409,Yes,No,ATP1A3,Yes,n/a,No,Yes,Yes
ENSG00000105464,Yes,No,GRIN2D,Yes,n/a,No,Yes,Yes
ENSG00000105641,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000105642,Yes,No,KCNN1,Yes,n/a,No,Yes,Yes
ENSG00000105711,Yes,No,SCN1B,Yes,n/a,No,Yes,Yes
ENSG00000105723,Yes,No,n/a,No,GSK3A,Yes,Yes,Yes
ENSG00000105810,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000105851,Yes,No,n/a,No,PIK3CG,Yes,Yes,Yes
ENSG00000105976,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000106144,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000106258,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000106366,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000106459,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000106546,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000106617,Yes,No,n/a,No,PRKAG2,Yes,Yes,Yes
ENSG00000107175,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000108242,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000108405,Yes,No,P2RX1,Yes,n/a,No,Yes,Yes
ENSG00000108576,Yes,Yes,SLC6A4,Yes,n/a,No,Yes,Yes
ENSG00000108691,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000108846,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000108861,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000109158,Yes,No,GABRA4,Yes,n/a,No,Yes,Yes
ENSG00000109320,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000109991,Yes,No,P2RX3,Yes,n/a,No,Yes,Yes
ENSG00000110848,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000110931,Yes,No,n/a,No,CAMKK2,Yes,Yes,Yes
ENSG00000111087,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000111424,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000111640,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000111679,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000111700,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000111725,Yes,No,n/a,No,PRKAB1,Yes,Yes,Yes
ENSG00000112033,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000112038,Yes,Yes,OPRM1,Yes,n/a,No,Yes,Yes
ENSG00000112333,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000112541,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000112759,Yes,Yes,SLC29A1,Yes,n/a,No,Yes,Yes
ENSG00000113327,Yes,No,GABRG2,Yes,n/a,No,Yes,Yes
ENSG00000113448,Yes,No,PDE4D,Yes,n/a,No,Yes,Yes
ENSG00000113575,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000113580,Yes,Yes,NR3C1,Yes,n/a,No,Yes,Yes
ENSG00000113712,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000113721,Yes,No,n/a,No,PDGFRB,Yes,Yes,Yes
ENSG00000113749,Yes,No,HRH2,Yes,n/a,No,Yes,Yes
ENSG00000114200,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000114812,Yes,No,VIPR1,Yes,n/a,No,Yes,Yes
ENSG00000115008,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000115085,Yes,Yes,n/a,No,ZAP70,Yes,Yes,Yes
ENSG00000115353,Yes,No,TACR1,Yes,n/a,No,Yes,Yes
ENSG00000115592,Yes,No,n/a,No,PRKAG3,Yes,Yes,Yes
ENSG00000116032,Yes,No,GRIN3B,Yes,n/a,No,Yes,Yes
ENSG00000116044,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000116141,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000116329,Yes,Yes,OPRD1,Yes,n/a,No,Yes,Yes
ENSG00000116478,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000116833,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000117020,Yes,Yes,n/a,No,AKT3,Yes,Yes,Yes
ENSG00000117525,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000117650,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000118046,Yes,No,n/a,No,STK11,Yes,Yes,Yes
ENSG00000118217,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000118432,Yes,No,CNR1,Yes,n/a,No,Yes,Yes
ENSG00000118513,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000118515,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000118777,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000119508,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000119715,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000120156,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000120738,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000120798,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000120903,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000120907,Yes,No,ADRA1A,Yes,n/a,No,Yes,Yes
ENSG00000121361,Yes,No,KCNJ8,Yes,n/a,No,Yes,Yes
ENSG00000121853,Yes,No,GHSR,Yes,n/a,No,Yes,Yes
ENSG00000121879,Yes,Yes,n/a,No,PIK3CA,Yes,Yes,Yes
ENSG00000122861,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000123358,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000123374,Yes,Yes,CDK2,Yes,CDK2,Yes,Yes,Yes
ENSG00000125255,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000125347,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000125384,Yes,Yes,PTGER2,Yes,n/a,No,Yes,Yes
ENSG00000125510,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000125798,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000125834,Yes,No,n/a,No,STK35,Yes,Yes,Yes
ENSG00000126351,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000126368,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000127329,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000127947,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000128052,Yes,Yes,n/a,No,KDR,Yes,Yes,Yes
ENSG00000128271,Yes,Yes,ADORA2A,Yes,n/a,No,Yes,Yes
ENSG00000129244,Yes,No,ATP1B2,Yes,n/a,No,Yes,Yes
ENSG00000130164,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000130649,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000130669,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000131408,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000131759,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000131791,Yes,No,n/a,No,PRKAB2,Yes,Yes,Yes
ENSG00000131910,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000132155,Yes,Yes,n/a,No,RAF1,Yes,Yes,Yes
ENSG00000132170,Yes,Yes,PPARG,Yes,n/a,No,Yes,Yes
ENSG00000132356,Yes,Yes,n/a,No,PRKAA1,Yes,Yes,Yes
ENSG00000132681,Yes,No,ATP1A4,Yes,n/a,No,Yes,Yes
ENSG00000133019,Yes,Yes,CHRM3,Yes,n/a,No,Yes,Yes
ENSG00000133216,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000134058,Yes,No,n/a,No,CDK7,Yes,Yes,Yes
ENSG00000134240,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000134318,Yes,No,n/a,No,ROCK2,Yes,Yes,Yes
ENSG00000134538,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000134602,Yes,No,n/a,No,STK26,Yes,Yes,Yes
ENSG00000134640,Yes,No,MTNR1B,Yes,n/a,No,Yes,Yes
ENSG00000134716,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000134954,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000135124,Yes,No,P2RX4,Yes,n/a,No,Yes,Yes
ENSG00000135312,Yes,No,HTR1B,Yes,n/a,No,Yes,Yes
ENSG00000135914,Yes,No,HTR2B,Yes,n/a,No,Yes,Yes
ENSG00000136160,Yes,Yes,EDNRB,Yes,n/a,No,Yes,Yes
ENSG00000136244,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000136931,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000136997,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000137193,Yes,No,n/a,No,PIM1,Yes,Yes,Yes
ENSG00000137204,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000137491,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000137673,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000137745,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000137752,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000137757,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000137860,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000137869,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000138061,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000138109,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000138115,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000138435,Yes,No,CHRNA1,Yes,n/a,No,Yes,Yes
ENSG00000138735,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000138755,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000139625,Yes,No,n/a,No,MAP3K12,Yes,Yes,Yes
ENSG00000140009,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000140443,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000140465,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000140505,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000140992,Yes,No,n/a,No,PDPK1,Yes,Yes,Yes
ENSG00000141510,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000141551,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000141736,Yes,No,n/a,No,ERBB2,Yes,Yes,Yes
ENSG00000142082,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000142208,Yes,Yes,AKT1,Yes,AKT1,Yes,Yes,Yes
ENSG00000142319,Yes,Yes,SLC6A3,Yes,n/a,No,Yes,Yes
ENSG00000142627,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000142949,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000143153,Yes,No,ATP1B1,Yes,n/a,No,Yes,Yes
ENSG00000143190,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000143257,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000143365,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000143603,Yes,No,KCNN3,Yes,n/a,No,Yes,Yes
ENSG00000143727,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000144852,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000144891,Yes,Yes,AGTR1,Yes,n/a,No,Yes,Yes
ENSG00000145863,Yes,No,GABRA6,Yes,n/a,No,Yes,Yes
ENSG00000146477,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000146648,Yes,Yes,n/a,No,EGFR,Yes,Yes,Yes
ENSG00000146904,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000147246,Yes,No,HTR2C,Yes,n/a,No,Yes,Yes
ENSG00000147955,Yes,No,SIGMAR1,Yes,n/a,No,Yes,Yes
ENSG00000148200,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000148680,Yes,Yes,HTR7,Yes,n/a,No,Yes,Yes
ENSG00000149269,Yes,No,n/a,No,PAK1,Yes,Yes,Yes
ENSG00000149295,Yes,Yes,DRD2,Yes,n/a,No,Yes,Yes
ENSG00000149452,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000149554,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000149575,Yes,No,SCN2B,Yes,n/a,No,Yes,Yes
ENSG00000149968,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000150594,Yes,Yes,ADRA2A,Yes,n/a,No,Yes,Yes
ENSG00000151067,Yes,No,CACNA1C,Yes,n/a,No,Yes,Yes
ENSG00000151090,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000151422,Yes,No,n/a,No,FER,Yes,Yes,Yes
ENSG00000151617,Yes,Yes,EDNRA,Yes,n/a,No,Yes,Yes
ENSG00000151623,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000151834,Yes,No,GABRA2,Yes,n/a,No,Yes,Yes
ENSG00000152104,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000152270,Yes,No,PDE3B,Yes,n/a,No,Yes,Yes
ENSG00000153234,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000154229,Yes,No,n/a,No,PRKCA,Yes,Yes,Yes
ENSG00000154928,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000156222,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000157219,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000157404,Yes,No,n/a,No,KIT,Yes,Yes,Yes
ENSG00000157540,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000157764,Yes,No,n/a,No,BRAF,Yes,Yes,Yes
ENSG00000158748,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000158773,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000159640,Yes,No,ACE,Yes,n/a,No,Yes,Yes
ENSG00000160113,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000160868,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000161509,Yes,No,GRIN2C,Yes,n/a,No,Yes,Yes
ENSG00000162409,Yes,No,n/a,No,PRKAA2,Yes,Yes,Yes
ENSG00000162599,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000162692,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000162889,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000163285,Yes,No,GABRG1,Yes,n/a,No,Yes,Yes
ENSG00000163394,Yes,No,CCKAR,Yes,n/a,No,Yes,Yes
ENSG00000163399,Yes,No,ATP1A1,Yes,n/a,No,Yes,Yes
ENSG00000163406,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000163485,Yes,Yes,ADORA1,Yes,n/a,No,Yes,Yes
ENSG00000163629,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000163932,Yes,No,n/a,No,PRKCD,Yes,Yes,Yes
ENSG00000164128,Yes,Yes,NPY1R,Yes,n/a,No,Yes,Yes
ENSG00000164270,Yes,No,HTR4,Yes,n/a,No,Yes,Yes
ENSG00000164305,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000164638,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000164749,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000165025,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000165841,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000166148,Yes,Yes,AVPR1A,Yes,n/a,No,Yes,Yes
ENSG00000166257,Yes,No,SCN3B,Yes,n/a,No,Yes,Yes
ENSG00000166736,Yes,Yes,HTR3A,Yes,n/a,No,Yes,Yes
ENSG00000166851,Yes,No,n/a,No,PLK1,Yes,Yes,Yes
ENSG00000168065,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000168067,Yes,No,n/a,No,MAP4K2,Yes,Yes,Yes
ENSG00000168398,Yes,No,BDKRB2,Yes,n/a,No,Yes,Yes
ENSG00000168539,Yes,Yes,CHRM1,Yes,n/a,No,Yes,Yes
ENSG00000168542,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000168610,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000169083,Yes,Yes,AR,Yes,n/a,No,Yes,Yes
ENSG00000169245,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000169252,Yes,Yes,ADRB2,Yes,n/a,No,Yes,Yes
ENSG00000169297,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000169398,Yes,No,n/a,No,PTK2,Yes,Yes,Yes
ENSG00000169403,Yes,No,PTAFR,Yes,n/a,No,Yes,Yes
ENSG00000169410,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000169429,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000169856,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000169860,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000169967,Yes,No,n/a,No,MAP3K2,Yes,Yes,Yes
ENSG00000170214,Yes,No,ADRA1B,Yes,n/a,No,Yes,Yes
ENSG00000170365,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000170425,Yes,No,ADORA2B,Yes,n/a,No,Yes,Yes
ENSG00000171105,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000171132,Yes,No,n/a,No,PRKCE,Yes,Yes,Yes
ENSG00000171720,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000171862,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000172216,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000172531,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000172572,Yes,No,PDE3A,Yes,n/a,No,Yes,Yes
ENSG00000172819,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000173020,Yes,No,n/a,No,GRK2,Yes,Yes,Yes
ENSG00000173153,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000173432,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000173482,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000174175,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000174738,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000175003,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000175354,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000175745,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000176208,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000176884,Yes,No,GRIN1,Yes,n/a,No,Yes,Yes
ENSG00000177098,Yes,No,SCN4B,Yes,n/a,No,Yes,Yes
ENSG00000177189,Yes,No,n/a,No,RPS6KA3,Yes,Yes,Yes
ENSG00000177463,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000178394,Yes,No,HTR1A,Yes,n/a,No,Yes,Yes
ENSG00000178404,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000178726,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000179295,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000180210,Yes,No,F2,Yes,n/a,No,Yes,Yes
ENSG00000180370,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000180509,Yes,No,KCNE1,Yes,n/a,No,Yes,Yes
ENSG00000180720,Yes,Yes,CHRM4,Yes,n/a,No,Yes,Yes
ENSG00000180772,Yes,No,AGTR2,Yes,n/a,No,Yes,Yes
ENSG00000181072,Yes,Yes,CHRM2,Yes,n/a,No,Yes,Yes
ENSG00000181408,Yes,No,UTS2R,Yes,n/a,No,Yes,Yes
ENSG00000181929,Yes,No,n/a,No,PRKAG1,Yes,Yes,Yes
