ensembl_gene_id,dcs_target_list,pm_target_list,adverse_effects_symbol,adverse_effects_target_list,safety_risk_symbol,safety_risk_target_list,on_platform_qc,on_platform_production
ENSG00000182256,Yes,No,GABRG3,Yes,n/a,No,Yes,Yes
ENSG00000182578,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000182866,Yes,Yes,LCK,Yes,n/a,No,Yes,Yes
ENSG00000182968,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000183454,Yes,No,GRIN2A,Yes,n/a,No,Yes,Yes
ENSG00000183735,Yes,No,n/a,No,TBK1,Yes,Yes,Yes
ENSG00000183873,Yes,No,SCN5A,Yes,n/a,No,Yes,Yes
ENSG00000184160,Yes,Yes,ADRA2C,Yes,n/a,No,Yes,Yes
ENSG00000184371,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000184845,Yes,Yes,DRD1,Yes,n/a,No,Yes,Yes
ENSG00000184984,Yes,Yes,CHRM5,Yes,n/a,No,Yes,Yes
ENSG00000185122,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000185149,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000185386,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000185532,Yes,No,n/a,No,PRKG1,Yes,Yes,Yes
ENSG00000185551,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000185591,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000186204,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000186297,Yes,No,GABRA5,Yes,n/a,No,Yes,Yes
ENSG00000186318,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000186350,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000186951,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000187486,Yes,No,KCNJ11,Yes,n/a,No,Yes,Yes
ENSG00000187848,Yes,No,P2RX2,Yes,n/a,No,Yes,Yes
ENSG00000188778,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000188786,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000188822,Yes,No,CNR2,Yes,n/a,No,Yes,Yes
ENSG00000189221,Yes,No,MAOA,Yes,n/a,No,Yes,Yes
ENSG00000196396,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000196482,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000196611,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000196639,Yes,Yes,HRH1,Yes,n/a,No,Yes,Yes
ENSG00000196954,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000197122,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000197208,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000197375,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000197405,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000197408,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000197442,Yes,No,n/a,No,MAP3K5,Yes,Yes,Yes
ENSG00000197506,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000197561,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000197901,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000198001,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000198246,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000198400,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000198785,Yes,No,GRIN3A,Yes,n/a,No,Yes,Yes
ENSG00000198793,Yes,No,n/a,No,MTOR,Yes,Yes,Yes
ENSG00000198873,Yes,No,n/a,No,GRK5,Yes,Yes,Yes
ENSG00000198963,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000204231,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000204287,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000213341,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000213903,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000232810,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000241635,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000244067,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000254087,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000254598,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000255974,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000263528,Yes,No,n/a,No,IKBKE,Yes,Yes,Yes
ENSG00000273079,Yes,No,GRIN2B,Yes,n/a,No,Yes,Yes
ENSG00000274286,Yes,No,ADRA2B,Yes,n/a,No,Yes,Yes
ENSG00000276293,Yes,No,n/a,No,PIP4K2B,Yes,Yes,Yes
ENSG00000276996,Yes,No,n/a,No,n/a,No,No,No
ENSG00000277273,Yes,No,n/a,No,n/a,No,No,No
ENSG00000277292,Yes,No,n/a,No,n/a,No,No,No
ENSG00000278570,Yes,Yes,n/a,No,n/a,No,Yes,No
ENSG00000282076,Yes,No,n/a,No,n/a,No,No,No
ENSG00000282608,Yes,No,ADORA3,Yes,n/a,No,Yes,Yes
ENSG00000282928,Yes,No,n/a,No,n/a,No,No,No
ENSG00000285479,Yes,No,n/a,No,n/a,No,No,No
ENSG00000288516,Yes,No,n/a,No,n/a,No,No,No
ENSG00000178999,No,No,n/a,No,AURKB,Yes,Yes,Yes
